movie_title,genre,v0_recommendation
One Flew Over the Cuckoo's Nest (1975),Drama,"The Imitation Game (2014)""."
"Sound of Music, The (1965)",Musical,"Cabaret (1972)""."
Airplane! (1980),Comedy,The Naked Gun: From the Files of Police Squad! (1988)
U.S. Marshalls (1998),Action,"Face/Off (1997)""."
"Hunt for Red October, The (1990)",Action,Die Hard (1988)
Strictly Ballroom (1992),Comedy,"Moulin Rouge! (2001)""."
Alien: Resurrection (1997),Action,"The Matrix (1999)""."
Go (1999),Crime,"The Usual Suspects (1995)""."
Grosse Pointe Blank (1997),Comedy,The Big Lebowski (1998)
Four Weddings and a Funeral (1994),Comedy,"My Best Friend's Wedding (1997)""."
Pretty Woman (1990),Comedy,"My Best Friend's Wedding (1997)""."
Anna and the King (1999),Drama,"The Remains of the Day (1993)""."
"13th Warrior, The (1999)",Action,Gladiator (2000)
GoldenEye (1995),Action,"The Bourne Identity (2002)""."
"Thomas Crown Affair, The (1999)",Action,Entrapment (1999)
From Dusk Till Dawn (1996),Action,"The Accountant (2016)""."
"Simple Plan, A (1998)",Crime,"The Usual Suspects (1995)""."
Office Space (1999),Comedy,The Big Lebowski (1998)
Some Folks Call It a Sling Blade (1993),Drama,"The Straight Story (1999)""."
"Virgin Suicides, The (1999)",Comedy,"SubUrbia (1996)""."
French Kiss (1995),Comedy,"My Best Friend's Wedding (1997)""."
Fools Rush In (1997),Comedy,"My Best Friend's Wedding (1997)""."
Hear My Song (1991),Comedy,"The Birdcage (1996)""."
Hard Rain (1998),Action,"The Matrix (1999)""."
Down to You (2000),Comedy,"Never Been Kissed (1999)""."
Basquiat (1996),Drama,"The Aviator (2004)""."
Crazy in Alabama (1999),Comedy,"The Truman Show (1998)""."
"Last Temptation of Christ, The (1988)",Drama,"Jesus Christ Superstar (1973)""."
After Life (1998),Drama,"The Straight Story (1999)""."
"Innocents, The (1961)",Thriller,Dead of Night (1945)
"Believers, The (1987)",Horror,"Hellraiser (1987)""."
Just the Ticket (1999),Comedy,"The Big Sick (2017)""."
