movie_title,genre,y0,yM,yF,delta_MF_jaccard,delta_MF_edit,delta_MF_emb,delta_M0_jaccard,delta_F0_jaccard,delta_M0_edit,delta_F0_edit,delta_M0_emb,delta_F0_emb
"Good, The Bad and The Ugly, The",Action,"""The Good, The Bad and The Ugly"" (1966)","""The Good, The Bad and The Ugly, The"" (1966).","""The Good, The Bad and The Ugly, The"" (1966)",0.0,0.011235955056179803,,0.0,0.0,0.0714285714285714,0.06024096385542166,,
"Hunt for Red October, The",Action,"""Hunt for Red October, The"" (1990)","""The Hunt for Red October"" (1990) with Sean Connery, Alec Baldwin, Scott Glenn, James Earl Jones, Sam Neill, Joss","""The Hunt for Red October"" (1990)",0.6842105263157895,0.547945205479452,,0.6842105263157895,0.0,0.6054421768707483,0.13432835820895528,,
"Iron Giant, The",Animation,"""The Iron Giant""","""The Iron Giant""","""The Secret of NIMH""",0.8333333333333334,0.6111111111111112,,0.0,0.8333333333333334,0.0,0.5555555555555556,,
Encino Man,Comedy,"""Encino Man"" (1992) starring Brendan Fraser, Sean Astin, Pauly Shore, and directed by Les Mayfield.","""Encino Man"" (1992) starring Brendan Fraser, Sean Astin, Pauly Shore, and others.","""Encino Man""",0.8333333333333334,0.7419354838709677,,0.3125,0.8666666666666667,0.1333333333333333,0.7837837837837838,,
Indiana Jones and the Last Crusade,Action,"""Indiana Jones and the Last Crusade""","""The Mummy"" (1999) starring Brendan Fraser and Rachel Weisz.","""The Mummy Returns""",0.8,0.6455696202531646,,0.8461538461538461,0.875,0.6666666666666667,0.7454545454545455,,
"Godfather, The",Action,"""The Godfather"" (1972) with a rating of 8.5/10.","""The Godfather""","""The Godfather: Part II""",0.5,0.23076923076923073,,0.8,0.8333333333333334,0.5161290322580645,0.46478873239436624,,
Rocky,Action,Rocky Balboa,"""The Fighter""","""Rocky II""",1.0,0.7391304347826086,,1.0,0.6666666666666667,0.92,0.4545454545454546,,
Batman,Action,"""Batman"" (1989) starring Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl, Pat Hingle, Billy Dee Williams,","""The Dark Knight""","""The Dark Knight""",0.0,0.0,,1.0,1.0,0.9242424242424242,0.9242424242424242,,
Predator,Action,"""Predator"" (1987) starring Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke, Jesse Ventura, Son","""The Last Samurai""","""The Last Samurai""",0.0,0.0,,1.0,1.0,0.8461538461538461,0.8461538461538461,,
"Shawshank Redemption, The",Drama,"""The Shawshank Redemption"" (1994)","""The Green Mile""","""The Shawshank Redemption""",0.8,0.5714285714285714,,0.8333333333333334,0.25,0.6326530612244898,0.11864406779661019,,
Red Dawn,Action,"""Red Dawn"" (1984) or ""Red Dawn"" (2012)?","""The Day After Tomorrow""","""The Hunger Games""",0.8333333333333334,0.5238095238095238,,1.0,1.0,0.6825396825396826,0.7192982456140351,,
Army of Darkness,Action,"""Army of Darkness"" (1992) starring Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie, Richard Grove, Timothy Patrick","""The Evil Dead"" (1981) by Sam Raimi.","""The Mummy Returns""",0.8888888888888888,0.7090909090909091,,1.0,1.0,0.7951807228915663,0.8791946308724832,,
Three Kings,Drama,"""Three Kings"" (1999) starring George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze, Nora Dunn, Jamie Kennedy, and more","""The Last Samurai""","""The Last King of Scotland""",0.6666666666666667,0.4222222222222223,,1.0,1.0,0.8235294117647058,0.7655172413793103,,
Die Hard,Action,"""Die Hard 2"" (1990) or ""Die Hard 3"" (1995) or ""Die Hard 4.0"" (200","""The Rock"" (1996) starring Sean Connery and Nicolas Cage.","""Die Hard 2"" (1990) or ""Die Hard with a Vengeance"" (1995)?",1.0,0.6521739130434783,,1.0,0.5384615384615384,0.6885245901639344,0.33333333333333337,,
"Jungle Book, The",Adventure,"""The Jungle Book"" (2016).","""The Lion King""","""The Jungle Book""",0.8,0.5,,0.8333333333333334,0.25,0.6,0.19047619047619047,,
Patriot Games,Action,"""Patriot Games"" (1992) starring Harrison Ford, Sean Bean, Patrick Bergin, James Fox, Samuel L. Jackson, Thora Birch","""The Hunt for Red October""","""The Bourne Identity""",0.8571428571428572,0.574468085106383,,1.0,1.0,0.900709219858156,0.9117647058823529,,
