movie_title,genre,n,mean_log_vdr,median_log_vdr
"Good, The Bad and The Ugly, The",Action,6,3.4897618585805232,3.4897618585805237
"Hunt for Red October, The",Action,7,3.2039790923589173,3.2039790923589173
"Iron Giant, The",Animation,5,0.34384355152470447,0.34384355152470447
Encino Man,Comedy,5,0.2594198839377748,0.2594198839377748
Indiana Jones and the Last Crusade,Action,6,0.2569539446883749,0.2569539446883749
"Godfather, The",Action,11,0.24650831301348622,0.24650831301348625
Rocky,Action,6,0.2429598545788715,0.2429598545788715
Batman,Action,8,0.18900058251945562,0.18900058251945562
Predator,Action,9,0.13897310820330472,0.13897310820330472
"Shawshank Redemption, The",Drama,14,0.13282113723923292,0.1328211372392329
Red Dawn,Action,5,0.12208693090451876,0.12208693090451876
Army of Darkness,Action,5,0.0890590158895851,0.0890590158895851
Three Kings,Drama,5,0.07934533334928456,0.07934533334928456
Die Hard,Action,8,0.06683411997128465,0.06683411997128465
"Jungle Book, The",Adventure,5,0.06303151937157286,0.06303151937157286
Patriot Games,Action,7,0.06124028715221535,0.06124028715221535
Swingers,Comedy,10,0.06027176660184023,0.06027176660184023
Independence Day (ID4),Action,9,0.05998766197306196,0.059987661973061955
"Untouchables, The",Action,13,0.05503467873166168,0.05503467873166168
Timecop,Action,6,0.05442078487946173,0.05442078487946174
Pee-wee's Big Adventure,Comedy,5,0.045348774877630026,0.045348774877630026
Judge Dredd,Action,5,0.03519868708348805,0.03519868708348805
Toy Story 2,Animation,15,0.02796884111007369,0.02796884111007369
Deliverance,Adventure,5,0.02321415039899285,0.02321415039899285
Con Air,Action,9,0.01858069567576452,0.01858069567576452
Galaxy Quest,Adventure,10,0.013391059485585102,0.013391059485585102
Star Trek: The Wrath of Khan,Action,10,0.009727094654600376,0.009727094654600376
"Honey, I Shrunk the Kids",Adventure,5,0.007619837087175134,0.007619837087175134
Pulp Fiction,Crime,7,0.007576717402533726,0.007576717402533726
Batman & Robin,Action,6,0.007375664564313004,0.007375664564313004
Payback,Action,5,0.00673402007123939,0.00673402007123939
Who Framed Roger Rabbit?,Adventure,8,0.006672114827413852,0.006672114827413852
Fargo,Crime,13,0.005393579412740392,0.005393579412740392
Dr. No,Action,5,0.0035873507408969224,0.0035873507408969224
"Patriot, The",Action,5,0.003028114069101767,0.003028114069101767
American Graffiti,Comedy,7,0.002849366353617002,0.0028493663536170014
Speed,Action,8,0.0022725460180764755,0.0022725460180764755
Dragonheart,Action,5,0.0019257802772549549,0.001925780277254955
Superman II,Action,5,0.0017717103676251477,0.0017717103676251477
Repo Man,Comedy,5,0.001716971852830802,0.001716971852830802
Starship Troopers,Action,7,0.0017003917256388714,0.0017003917256388718
"South Park: Bigger, Longer and Uncut",Animation,7,0.0016520692585109647,0.0016520692585109645
Bull Durham,Comedy,5,0.001136175550711117,0.001136175550711117
Fight Club,Drama,6,0.0009817426886159356,0.0009817426886159354
Kingpin,Comedy,5,0.0005895798754625408,0.0005895798754625408
Being John Malkovich,Comedy,9,0.0003121486031632842,0.0003121486031632842
Ronin,Action,7,-0.00010130259782603972,-0.00010130259782603973
Brazil,Sci-Fi,7,-0.000104692441626718,-0.00010469244162671798
Mad Max,Action,6,-0.00042892978952041415,-0.00042892978952041415
"Truman Show, The",Drama,8,-0.0010604699751847221,-0.0010604699751847221
Animal House,Comedy,6,-0.0012419927153431614,-0.0012419927153431614
Big Daddy,Comedy,9,-0.0013197685679705027,-0.0013197685679705027
Wayne's World,Comedy,5,-0.0013339126576706742,-0.0013339126576706742
Glengarry Glen Ross,Drama,5,-0.0016646652394067662,-0.0016646652394067662
Austin Powers: The Spy Who Shagged Me,Comedy,9,-0.001699609155715599,-0.001699609155715599
Jurassic Park,Action,13,-0.001699887114136268,-0.0016998871141362681
Falling Down,Action,5,-0.0032435899464165656,-0.0032435899464165656
Cliffhanger,Action,5,-0.0035961314592750987,-0.0035961314592750987
Lethal Weapon 2,Action,6,-0.00413618483920285,-0.00413618483920285
Grosse Pointe Blank,Comedy,6,-0.0047647113569289955,-0.0047647113569289955
Airplane II: The Sequel,Comedy,5,-0.005605385246430164,-0.005605385246430164
"13th Warrior, The",Action,6,-0.00667789384101923,-0.006677893841019229
Willy Wonka and the Chocolate Factory,Adventure,6,-0.007117969581682545,-0.007117969581682545
"Bridge on the River Kwai, The",Drama,6,-0.007426926747527345,-0.007426926747527345
Star Wars: Episode VI - Return of the Jedi,Action,12,-0.007442260495084961,-0.007442260495084959
Star Trek: First Contact,Action,6,-0.007563750990290957,-0.007563750990290958
"Fish Called Wanda, A",Comedy,7,-0.008301018704088814,-0.008301018704088814
Raiders of the Lost Ark,Action,14,-0.00837464270003138,-0.008374642700031378
"Thomas Crown Affair, The",Action,7,-0.008551899032341428,-0.008551899032341428
Star Wars: Episode IV - A New Hope,Action,10,-0.009455263429760465,-0.009455263429760464
U-571,Action,7,-0.01008621253388117,-0.010086212533881169
Ferris Bueller's Day Off,Comedy,11,-0.010919546638636977,-0.010919546638636975
Blazing Saddles,Comedy,5,-0.012506031471162183,-0.012506031471162183
Star Wars: Episode I - The Phantom Menace,Action,9,-0.01851754990974818,-0.01851754990974818
Star Trek VI: The Undiscovered Country,Action,8,-0.028556736180001232,-0.028556736180001232
Beetlejuice,Comedy,8,-0.033161374544956615,-0.033161374544956615
Toy Story,Animation,13,-0.04091544781801061,-0.040915447818010625
Tron,Action,7,-0.0475169131777317,-0.04751691317773169
Risky Business,Comedy,5,-0.05472499586552938,-0.054724995865529376
"Treasure of the Sierra Madre, The",Adventure,5,-0.06329420492055436,-0.06329420492055436
"Thin Red Line, The",Action,6,-0.06773433062639413,-0.06773433062639414
Reservoir Dogs,Crime,5,-0.06779532378878471,-0.06779532378878471
"Princess Bride, The",Action,8,-0.07303153551027436,-0.07303153551027436
"Good Morning, Vietnam",Comedy,5,-0.07739215645220539,-0.07739215645220539
"Godfather: Part II, The",Action,6,-0.08403678291830972,-0.08403678291830972
Austin Powers: International Man of Mystery,Comedy,8,-0.08497114646855297,-0.08497114646855297
Jaws,Action,6,-0.08729738558921575,-0.08729738558921576
Broken Arrow,Action,5,-0.10528998528457631,-0.10528998528457632
Face/Off,Action,7,-0.10643215553196961,-0.10643215553196961
Saving Private Ryan,Action,18,-0.1118756159988448,-0.1118756159988448
Robocop,Action,7,-0.11257237823680147,-0.11257237823680148
Trading Places,Comedy,8,-0.11436005367352688,-0.11436005367352688
"Lion King, The",Animation,5,-0.1191910182204067,-0.11919101822040669
